review,kebersihan,linen,service,Gabungan,aspek
"Saya sudah 3x menginap di sini. Tempatnya sangat worth it dengan harganya. Kamar bersih, kamar mandi juga bersih hanya saja selalu bermasalah dengan air panasnya. Overall sangat recommended",pos,neut,neut,posneutneut,kebersihan
Kamarnya bersih dan rapi. Kamar mandinya Lumayan. Makanan juga enak2 dan murah. tapi sayang wifinya lemot. thx,pos,neut,neut,posneutneut,kebersihan
"Nyaman.  ruangannya bersih dan luas, hanya saja wifi tidak jalan alias lelet",pos,neut,neut,posneutneut,kebersihan
"bagus,bersih,sedikit bau aroma kamarnya..",pos,neut,neut,posneutneut,kebersihan
"kamar bagus,bersih, wifi lancar, cuma siaran tv yg gak ada",pos,neut,neut,posneutneut,kebersihan
"kamar bersih dan luas,tp sayangnya  wifi nga sampai kamar",pos,neut,neut,posneutneut,kebersihan
Lokasi hotel tidak di jalan utama. di kamar tidak tersedia tlp operator. serta lebih mirip tempat kost. Namun kondisi kamar bersih. free wifi juga blm ada sepertinya.,pos,neut,neut,posneutneut,kebersihan
"kamar bersih, bentuknya unik, tapi sinyal tv tidak jernih",pos,neut,neut,posneutneut,kebersihan
"Airy Progo adalah bangunan yang sama dengan Hotel Progo. sedang renovasi sehingga berisik. Breakfast siap jam 7, tdk ada perlakuan khusus jika check out seblm breakfast. Termasuk kami yg harus segera brkt seblm jam 6pagi. kamar luas,ac dingin,bersih. toilet tua dan tidak ada water heater. semoga lebih baik setelah renovasi",pos,neut,neut,posneutneut,kebersihan
kamar bersih tp agak bau dan asalnya dr lemari pakaian...alhasil lemari g kepake krn takut baunya ngikut... biaya tambahan 1 org utk sarapan terlalu tinggi utk ukuran hotel bintang 3,pos,neut,neut,posneutneut,kebersihan
"tempat bersih nyaman, cuman wifi sangat sangat lemot banget, makasih",pos,neut,neut,posneutneut,kebersihan
"Dua kali menginap dihotel sm dan dapat kamar yang sm tetep AC ndak pernah dingin serasa tidak ada AC nya itu kamar dan suara pendingin kamar yang cukup berisik,tp selaen masalah AC yang tidak pernah dingin makanan dan kebersihan cukup memuaskan saya dan ke",pos,neut,neut,posneutneut,kebersihan
Kamar bersih tapi toilet banyak cacingnya,pos,neut,neut,posneutneut,kebersihan
lumayan murah karena dpt diskon..bersih nyaman privat kekurangan g da hot water. .. restaurant kurang..for all ok lah...,pos,neut,neut,posneutneut,kebersihan
Kamar sangat bersih tlong siaran tv nya di perbaiki krna sama skli gak bsa nonton gara2 chanel nya bnyk yg gak jelas..  Trus tempat parkir msih kurng aman msih ada rasa was was mskpun ada cctv Tp buat saya top bnget deh... Mksih atas playanan nya,pos,neut,neut,posneutneut,kebersihan
Bersih... rapih dan lumayan bagus kamar nya....nyamanlah utk istirahat. Tapi banyak semut kecil2..  kalau mlm air panas nya dingin. Gak ada pintu langsung ke lobby/resepsionis jadi harus turun dulu ke basement. Tapi sdh hari ke 4 masih betah tidur disini.,pos,neut,neut,posneutneut,kebersihan
Sya puas menginap di hotel ini dari segi harga sangat terjangkau acbagus keaman bagus kebersihan juga bagus yang hanya air panas gak panas,pos,neut,neut,posneutneut,kebersihan
"(+) kamar besar, baru, bersih. hari ke 1 AC tdk dingin, tp diganti pihak homestay dgn kamar yg lain (-) tdk ada lift, wifi lambat, Breakfast cm dikasih 2 piring. sesuai dgn harganya.",pos,neut,neut,posneutneut,kebersihan
"kamar nya luas bersih dan nyaman , hanya saja wifi perlu diperbaiki serig putus",pos,neut,neut,posneutneut,kebersihan
kamar bersih nyaman..namun kurang sesuai dengan penawaran fasilitasnya..ac mati..wifi tidak bisa conect..dan kamarnya terlalu sempit..,pos,neut,neut,posneutneut,kebersihan
lokasi hotel strategis dekat mall SKA. kamar tidak terlalu luas namun cukup bersih. kamar mandi pun sempit. hot shower airnya panas. menu breakfast bervariasi banyak dan enak. wifi tidak bs konek.,pos,neut,neut,posneutneut,kebersihan
untuk kamar bagus dan bersih. dapet breakfast lumayan banyak pilihan. cuma air kamar mandi nya berbau dan berwarna kuning.,pos,neut,neut,posneutneut,kebersihan
"kamar bersih walau hotel lama,wifi parah,makanan tidak ada variasi tapi rasa oke.posisi yang strategis kemana2",pos,neut,neut,posneutneut,kebersihan
kamar luas & bersih tapi air panasnya tidak fungsi,pos,neut,neut,posneutneut,kebersihan
"Tempatnya nyaman, bersih walaupun lemari nya sedikit bau tp over all is ok",pos,neut,neut,posneutneut,kebersihan
"kamar nyaman,bersih hanya lobby dan tempat parkir perlu diperbaiki",pos,neut,neut,posneutneut,kebersihan
"nyaman, bersih, tv aja yang kurang bagus ga ada yg bisa ditonton dgn jelas. ac dingin.",pos,neut,neut,posneutneut,kebersihan
"dekat dg jatimpark 2, kamar bersih cuma pada saat datang guest house sedang di renovasi jd banyak debu. saat itu saya bawa 2 bayi. jd keluar hotel hanya untuk ke jatimpark saja",pos,neut,neut,posneutneut,kebersihan
nyaman dan bersih... cuma air hangat nya ga begitu hangat masih dingin,pos,neut,neut,posneutneut,kebersihan
kamar wangi sekali. bersih. nyaman. cuma satu ac kurang dingin mas :(,pos,neut,neut,posneutneut,kebersihan
"bersih nyaman, tp wifi ga nyala pada wakfu itu.",pos,neut,neut,posneutneut,kebersihan
"ruangan bersih, akses cukup mudah, cuma posisinya di lantai 2 yg tdk sesuai dengan kriteria airy adalah tidak tersedia air panas / hot shower, padahal bg saya itu cukup penting",pos,neut,neut,posneutneut,kebersihan
kamar nyaman dan luas..bersih...cm g ada wifi sama air panas...,pos,neut,neut,posneutneut,kebersihan
"Bagus , nyaman dan bersih. Kalau bisa utk saluran chanel tv nya ditambah lagi biar bisa nnton siaran tv yg lainnya. hanya itu saja sih selebihnya good lah",pos,neut,neut,posneutneut,kebersihan
"Kamar nyaman dan bersih, utk kolam renangnya harus d bersihkan karena lumayan kotor",pos,neut,neut,posneutneut,kebersihan
"1. hotel yg bagus, sayang saat masuk,bau rokok di lobby nya 2. internet lambat,mohon ditingkatkan 3. tv kabel hanya sedikit, mohon ditingkatkan 4.kamar bersih dan nyaman 5. sarapan variatif dan lezat 6. kolam renang,membuat betah,tp sayang ada warga sekitar,bkn penyewa hotel yg ikutan renang,membuat ramai,krn mereka anak2 usia tanggung.",pos,neut,neut,posneutneut,kebersihan
"bangunan baru, kebersihan ok ,, ga jauh dr jalan utama..perlu pengharum buat di toilet... tq",pos,neut,neut,posneutneut,kebersihan
"wifi gratis cuma di lobby, kamar mandi ada serangganya, kamar bau rokok, channel tv lengkap, kamar cukup bersih, sandal hotel putus",pos,neut,neut,posneutneut,kebersihan
"Sesuai dengan ekspektasi, kamar bersih walau agak sempit, kamar mandi bersih namun sayang tidak ada air hangat, cocok untuk backpacker dengan harga yang cukup murah.",pos,neut,neut,posneutneut,kebersihan
"lokasi sangat strategis, murah, cocok buat yg ga neko-neko dan cari tempat untuk tidur. sebenarnya kebersihan cukup tp bau kurang sedap dari toilet agak mengganggu",pos,neut,neut,posneutneut,kebersihan
"bagus,mumer dan bersih,yg kurang cm air hangat buat mandi aja",pos,neut,neut,posneutneut,kebersihan
"Kamar rapih bersih wangi, tapi wifi tidak sampai ke kamar, air kurang hangat, keran shower bocor mohon untuk ditingkatkan 😉",pos,neut,neut,posneutneut,kebersihan
"Bangunan kos-kosan, kamar bersih, kamar mandi kotor. Suasana sepi enak buat istirahat. Kesulitan mau",pos,neut,neut,posneutneut,kebersihan
tempatnya bersih hanya saja acnya kurang dingin,pos,neut,neut,posneutneut,kebersihan
"kamar nyaman dan bersih, yg kurang baik hnya air panas dan sarapan.. but overall baik ",pos,neut,neut,posneutneut,kebersihan
"Cukup nyaman, rapih dan bersih. Hanya saja AC kurang dingin. ",pos,neut,neut,posneutneut,kebersihan
"Proses check in cepat, kamar bersih, tersedia air hangat. Saat saya menginap wifi sedang mati, TV tidak bisa menyala.",pos,neut,neut,posneutneut,kebersihan
"kamar bersih,air panas lancar hanya saja siaran tv lokal saja.selebih nya ok deh...",pos,neut,neut,posneutneut,kebersihan
kamar bagus rapi bersih nyaman lah pokoknya .. cuma air panas agak lama keluarnya . overall bagus lah ..,pos,neut,neut,posneutneut,kebersihan
"Kamar bersih, lumayan bgt buat harga segitu...fasilitas oc, cma tayangan saluran tvnya gak semua bersih... lampu 2x mati, tp penanganannya masih sipp la... Agak ribut jga, suara2 dr luar terdengar dikamar.",pos,neut,neut,posneutneut,kebersihan
"Nyaman, baik, bersih, wifinya gak sampe kamar ",pos,neut,neut,posneutneut,kebersihan
Hotelnya strategis. Kmr bersih. Tapi hotel perlu di renovasi krn dinding kmr kotor sekali. Tembok2 catnya uda ngelupas spt tak terawat,pos,neut,neut,posneutneut,kebersihan
Cukup baik hy perlu perawatan sj d bagian kamar mandi. ruangan cukup bersih. cm nyamuk msh byk.,pos,neut,neut,posneutneut,kebersihan
"Lumayan bersih, nyaman Cuma showernya rusak, airnya ketika di setel hangat, yang keluar panas, bentar kemudian dingin, panas lagi, dst. ",pos,neut,neut,posneutneut,kebersihan
"kamar bersih,malah terlalu luas..jadi kaya kosong gitu suasana nya,cuman bau kmr apek tdk di semprot pengharum saat baru masuk dan penerangan kurang,menu sarapan sesuai harga kmr..bisa di maklumi",pos,neut,neut,posneutneut,kebersihan
"kamarnya bagus bersih, cuman dapet yg tanpa jendela. airnya terlalu panas dan gak bisa pake air dingin, airnya yg keluar hanya sedikit. overall kalo buat semalam sih cukup lah.",pos,neut,neut,posneutneut,kebersihan
tempat tidur dan ruangan bersih hanya ac tidak berfungsi dgn baik,pos,neut,neut,posneutneut,kebersihan
"perlu ditambah pengharum di lemarinya. overall kamarnya bersih banger, nyaman, fasilitas lengkap, ac dingin.  kalau bisa sediakan line telepon untuk pemesanan taksi, karena letaknya cukup jauh dari jalan raya. ",pos,neut,neut,posneutneut,kebersihan
hanya sj ac nya kurang dingin...g ad sendalnya.....semuanya nyaman kebersihan nyaman.....tapi knp di jakut hanya sedikit hotel airy nya...,pos,neut,neut,posneutneut,kebersihan
nyaman dan bersih tapi hanya 1 kurangnya AC nya kurang dingin..,pos,neut,neut,posneutneut,kebersihan
kamar bersih.. air buat mandi kurang panas.. over all good.,pos,neut,neut,posneutneut,kebersihan
"kamar bersih, nyaman. perlu ditingkatkan layanan air panas untuk mandi. dan jika kamar nya dengan view akan lebih baik.",pos,neut,neut,posneutneut,kebersihan
"kamar bersih,  ac gak kurang dingin.. so far so good 👍",pos,neut,neut,posneutneut,kebersihan
Kamar mandi bersih dan wangi. channel televisi kurang banyak karena memakai antena dalam. kamar bersih dan wangi. Terima kasih. Lemari baunya agak apek karena lembab.,pos,neut,neut,posneutneut,kebersihan
"Tempatnya secara keseluruhan baik, rapi, bersih. Hanya hot shower tak tersedia",pos,neut,neut,posneutneut,kebersihan
"sesuai gambar, bersih, ac dingin, wifi kencang, hanya channel tv yg kurang:)",pos,neut,neut,posneutneut,kebersihan
"kamar luas dan bersih hanya kamar mandinya yang kurang terawat, sarapan juga banyak variasinya, lokasi di pinggir jalan dan dekat mini market",pos,neut,neut,posneutneut,kebersihan
"Kamarnya bersih banget, terasa nyaman dan segar, membuat pengalaman menginap sangat menyenangkan.",pos,neut,neut,posneutneut,kebersihan
"Suasana kamar sangat bersih dan rapi, memberikan kesan menyenangkan selama menginap di sini.",pos,neut,neut,posneutneut,kebersihan
"Kebersihan kamar sangat terjaga, memberikan rasa aman dan nyaman selama menginap di Airy Rooms.",pos,neut,neut,posneutneut,kebersihan
"Kamar sangat terawat dan bersih, suasana yang nyaman dan segar membuat istirahat jadi lebih baik.",pos,neut,neut,posneutneut,kebersihan
"Kesan pertama begitu baik, kamar sangat bersih dan terawat dengan baik, membuat pengalaman menginap jadi sangat menyenangkan.",pos,neut,neut,posneutneut,kebersihan
Hotel ini luar biasa! Kebersihannya tidak diragukan lagi.,pos,neut,neut,posneutneut,kebersihan
Saya terkesan dengan kepedulian mereka terhadap kebersihan; kamar benar-benar bersih.,pos,neut,neut,posneutneut,kebersihan
Sangat menyukai suasana yang bersih dan rapi di hotel ini.,pos,neut,neut,posneutneut,kebersihan
"Kebersihan kamar sangat memuaskan, saya merasa sangat nyaman.",pos,neut,neut,posneutneut,kebersihan
Pelayanan hotel yang bersih dan terjaga membuat pengalaman menginap jadi lebih menyenangkan.,pos,neut,neut,posneutneut,kebersihan
Mereka mengutamakan kebersihan dan itu terlihat dari setiap sudut hotel.,pos,neut,neut,posneutneut,kebersihan
Saya sangat senang melihat standar kebersihan yang sangat tinggi di sini.,pos,neut,neut,posneutneut,kebersihan
"Kamar mandi bersih, handuk diganti dengan yang baru setiap hari.",pos,neut,neut,posneutneut,kebersihan
"Kebersihan luar biasa, membuat saya merasa sangat dihargai sebagai tamu.",pos,neut,neut,posneutneut,kebersihan
"Semua area hotel selalu terjaga kebersihannya, sangat mengesankan.",pos,neut,neut,posneutneut,kebersihan
Saya tak menemukan cela sedikitpun terkait kebersihan di sini.,pos,neut,neut,posneutneut,kebersihan
Staff hotel sangat peduli dengan kebersihan dan kenyamanan tamu.,pos,neut,neut,posneutneut,kebersihan
Suasana yang bersih di hotel ini membuat saya ingin kembali lagi.,pos,neut,neut,posneutneut,kebersihan
Mereka benar-benar memperhatikan setiap detail kebersihan.,pos,neut,neut,posneutneut,kebersihan
Ketertiban dan kebersihan yang dijaga dengan baik membuat penginapan ini istimewa.,pos,neut,neut,posneutneut,kebersihan
Saya merasa aman dan nyaman berkat kebersihan yang terjaga dengan baik.,pos,neut,neut,posneutneut,kebersihan
"Tidak ada debu atau kotoran sama sekali di kamar, sangat bersih!",pos,neut,neut,posneutneut,kebersihan
Mereka konsisten dalam mempertahankan standar kebersihan yang tinggi.,pos,neut,neut,posneutneut,kebersihan
Kebersihan kamar dan fasilitas hotel sangat memuaskan.,pos,neut,neut,posneutneut,kebersihan
Inilah salah satu hotel dengan tingkat kebersihan tertinggi yang pernah saya kunjungi.,pos,neut,neut,posneutneut,kebersihan
Saya sangat terkesan dengan tingkat kebersihan yang luar biasa di setiap sudut hotel ini.,pos,neut,neut,posneutneut,kebersihan
"Hotel ini tak pernah kehilangan fokus pada kebersihan, sangat mengesankan.",pos,neut,neut,posneutneut,kebersihan
"Kebersihan luar biasa, membuat saya merasa tenang dan santai selama menginap.",pos,neut,neut,posneutneut,kebersihan
"Kamar selalu dibersihkan dengan sempurna setiap hari, pelayanan yang luar biasa.",pos,neut,neut,posneutneut,kebersihan
Mereka jelas mengutamakan kebersihan dengan standar tinggi.,pos,neut,neut,posneutneut,kebersihan
Saya merasa nyaman karena kebersihan yang terjaga dengan sangat baik.,pos,neut,neut,posneutneut,kebersihan
"Sudah beberapa kali menginap di sini, kebersihan selalu menjadi prioritas utama.",pos,neut,neut,posneutneut,kebersihan
"Dari lobi hingga kamar, semuanya bersih dan terawat dengan sangat baik.",pos,neut,neut,posneutneut,kebersihan
Fasilitas umum hotel ini selalu bersih dan rapi.,pos,neut,neut,posneutneut,kebersihan
Staf sangat memperhatikan detail kebersihan yang membuat pengalaman menginap luar biasa.,pos,neut,neut,posneutneut,kebersihan
"Kebersihan hotel ini layak diacungi jempol, sangat memuaskan.",pos,neut,neut,posneutneut,kebersihan
"Kamar terawat dengan sangat baik, tidak ada keluhan terkait kebersihan.",pos,neut,neut,posneutneut,kebersihan
"Mereka tak pernah mengabaikan kebersihan, bahkan di masa ramai pengunjung.",pos,neut,neut,posneutneut,kebersihan
Kesegaran dan kebersihan udara di dalam hotel sangat terjaga.,pos,neut,neut,posneutneut,kebersihan
"Setiap permukaan terlihat bersih dan steril, hal yang sangat dihargai saat ini.",pos,neut,neut,posneutneut,kebersihan
Hotel ini jelas menginvestasikan waktu dan upaya untuk mempertahankan kebersihan yang luar biasa.,pos,neut,neut,posneutneut,kebersihan
"Kebersihan hotel ini jauh melampaui harapan saya, sangat impresif.",pos,neut,neut,posneutneut,kebersihan
"Ketika datang ke kebersihan, hotel ini tak memiliki kompromi.",pos,neut,neut,posneutneut,kebersihan
Kamar mandi selalu bersih dan terawat dengan baik.,pos,neut,neut,posneutneut,kebersihan
Saya merasa aman dari segi kebersihan dan sanitasi selama menginap di sini.,pos,neut,neut,posneutneut,kebersihan
Kebersihan luar biasa membuat saya merasa di rumah.,pos,neut,neut,posneutneut,kebersihan
Hotel ini adalah contoh bagus tentang bagaimana menjaga kebersihan dengan benar.,pos,neut,neut,posneutneut,kebersihan
"Mereka sungguh-sungguh menjaga kebersihan secara konsisten, tak ada cela sedikitpun.",pos,neut,neut,posneutneut,kebersihan
Saya sangat puas dengan tingkat kebersihan yang terjaga dengan sangat baik di sini.,pos,neut,neut,posneutneut,kebersihan
Kebersihan adalah hal yang tidak pernah diabaikan di hotel ini.,pos,neut,neut,posneutneut,kebersihan
Setiap sudut hotel selalu terlihat bersih dan tertata dengan rapi.,pos,neut,neut,posneutneut,kebersihan
Kualitas kebersihan kamar sama sekali tidak pernah mengecewakan.,pos,neut,neut,posneutneut,kebersihan
Mereka sangat serius dalam memberikan pengalaman yang bersih kepada tamu.,pos,neut,neut,posneutneut,kebersihan
Tidak ada yang bisa mengganggu tingkat kebersihan yang luar biasa di sini.,pos,neut,neut,posneutneut,kebersihan
"Kebersihan hotel ini patut diacungi jempol, layak direkomendasikan kepada siapa pun.",pos,neut,neut,posneutneut,kebersihan
kebersihan kurang...,neg,neut,neut,negneutneut,kebersihan
"sangat mengecewakan... hotel bad image, kebersihan kurang, berisik",neg,neut,neut,negneutneut,kebersihan
"Kamar mandi perlu ditingkatkan lagi, showernya kurang nyala",neg,neut,neut,negneutneut,kebersihan
"ga banget,kamarnya banyak sawang bedebu,lamou kamar mandi mmati,kamar mandi ga bersih parah deh",neg,neut,neut,negneutneut,kebersihan
"Cukup bersih, tetapi masih ada beberapa bagian yg belum.",neg,neut,neut,negneutneut,kebersihan
"Kebersihan kamar lebih ditingkatkan ya, di sekitar kusen jendela kotor banget. Seperti tidak pernah ",neg,neut,neut,negneutneut,kebersihan
"Tempatnya si strategis, bnyak yg jual makanan di sekitarnya. Tapi Kamarnya sempit, kamar mandi bau, kran air berkarat semua, air tidak lancar, ada hewan2 di kamar mandi (kecoak, kelabang (meskipun sudah mati)). Jadi kecewa, tidak memuaskan",neg,neut,neut,negneutneut,kebersihan
murah dan nyaman tp toilet agak sedikit kotor.,neg,neut,neut,negneutneut,kebersihan
Untuk nginap yg kemaren tempat tidur kurang bersih.. 🙏🏻,neg,neut,neut,negneutneut,kebersihan
kamar mandi kurang bersih,neg,neut,neut,negneutneut,kebersihan
"lumayan, tp kamar mandinya kurang bersih & bau.",neg,neut,neut,negneutneut,kebersihan
"Lantai dan tempat tidur kurang bersih, akses agak sulit, lainnya sudah sangat baik.",neg,neut,neut,negneutneut,kebersihan
kebersihan nya perlu di tingkat kan lg...jangan hanya kamar nya doank di bersihin tp luar nya pun hrs di perhatiin..,neg,neut,neut,negneutneut,kebersihan
"Kurang nyaman karena shower untuk closet duduk tidak ada , kurang bersih kesannya!",neg,neut,neut,negneutneut,kebersihan
tempatnya strategis.  deket ke mana2.  luas tapi agak jorok,neg,neut,neut,negneutneut,kebersihan
wastafel macet. kamar kurang bersih di sela lemari banyak sawang,neg,neut,neut,negneutneut,kebersihan
Untuk ditingkatkan kembali kebersihannya,neg,neut,neut,negneutneut,kebersihan
Kebersihan kamar diperhatikan,neg,neut,neut,negneutneut,kebersihan
Karena terlalu banyak kamar jadi tidak diperhatikan masalah kebersihan.,neg,neut,neut,negneutneut,kebersihan
"kamar cukup luas dan lokasi strategis dkt dengan kampus, mall, tempag makan tapi kamar mandi kotor d",neg,neut,neut,negneutneut,kebersihan
"Kamarnya kuranf bagus , lampunya tidak semuanya menyala , sangat petang , ruangannya sangat bau , kamar mandinya kotor ",neg,neut,neut,negneutneut,kebersihan
kamar tidak bersih,neg,neut,neut,negneutneut,kebersihan
kamar panas... lantai kamar kotor peralatan housekeping di letak di lorong hotel,neg,neut,neut,negneutneut,kebersihan
kamar mandinya tolong di perhatikan kembali kebersihannya dan agak sedikit bau dn closet ya terutama .makasih,neg,neut,neut,negneutneut,kebersihan
hanya kamarnya bau rokok dan air kamar mandi bocor ke kamar serta AC kurang dingin. Maaf komplain supaya dijaga kualitasnya,neg,neut,neut,negneutneut,kebersihan
"Ada kecoa di kamar mandi, AC kurang dingin, air panas malam hari tdk nyala",neg,neut,neut,negneutneut,kebersihan
airnya bau banget.. lantai kotor tidak bisa dibuat solat,neg,neut,neut,negneutneut,kebersihan
kamar mandinya kurang bersih airnya asin,neg,neut,neut,negneutneut,kebersihan
"Kamar nya lumayan, wifi nya gak nyampe sampai kamar saya, kamar mandi bau, jorok ",neg,neut,neut,negneutneut,kebersihan
"Pintu kamar bekas congkel, kamar mandi kurang bersih, lemari baju tidak berpenutup (dilepas), lampu kamar cuma 2 dan remang2.. ",neg,neut,neut,negneutneut,kebersihan
kamar nya agak kotor + gelap lantai nya seperti tidak pernah di pel,neg,neut,neut,negneutneut,kebersihan
kamar mandi kotor...,neg,neut,neut,negneutneut,kebersihan
"closet nya rusak kamar mandi tidak bersih lemari sudah jamuran, tidak bersih alas tempat tidur kotor banyak nyamuk ",neg,neut,neut,negneutneut,kebersihan
kebersihan selimut dan kamar masih perlu diperhatikan.. tetapi overall not bad..,neg,neut,neut,negneutneut,kebersihan
kurang bersih aja,neg,neut,neut,negneutneut,kebersihan
kamarnya sangat tidak sesuai gambar yang ditampilkan dan kotor,neg,neut,neut,negneutneut,kebersihan
lebih dijaga kebersihannya trims,neg,neut,neut,negneutneut,kebersihan
"Kalo itinerary ke seputaran Seminyak, tempat nya OK dan relatif deket kmn2. Kamar mandi perlu ditingkatkan kebersihan nya, selain itu OK ",neg,neut,neut,negneutneut,kebersihan
kamar jarang dibersihin,neg,neut,neut,negneutneut,kebersihan
TV gx ad chanel. toilet bermasalah,neg,neut,neut,negneutneut,kebersihan
" Cukup nyaman, tapi lantai dan kaca kamar mandi, waktu saya menginap kurang bersih.",neg,neut,neut,negneutneut,kebersihan
wcnya lumutan..bikin jijik,neg,neut,neut,negneutneut,kebersihan
Kamar kurang bersih.,neg,neut,neut,negneutneut,kebersihan
Airy nya bagus cuman hotel gajah mada nya yg tua dan kamar mandi bau serta banyak berdebu. Jadi tida,neg,neut,neut,negneutneut,kebersihan
"AC nya panas dan tidak dingin, dan juga kurang bersih",neg,neut,neut,negneutneut,kebersihan
"Overall oke, cuma overpriced sama keliatan kaya udah lama gitu, ada beberapa debu, sama nyamuk serin",neg,neut,neut,negneutneut,kebersihan
very nice..tapi bnyk rambut,neg,neut,neut,negneutneut,kebersihan
"Tidak rekomendasi kamar no 1 tembok kotor, banyak nyamuk, WC bau, kamar mandi jorok.",neg,neut,neut,negneutneut,kebersihan
air panas gak nyala. wc kurang bersih.,neg,neut,neut,negneutneut,kebersihan
"Air kotor, lampu kamar terlalu redup, kamar mandi kurang bersih",neg,neut,neut,negneutneut,kebersihan
Kaca kamar mandi kotor,neg,neut,neut,negneutneut,kebersihan
kasurnya berdebu,neg,neut,neut,negneutneut,kebersihan
